Strace Process : httpd | PID : 4729 

% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 93.55    0.000058          29         2           write
  1.61    0.000001           0        16           fstat
  1.61    0.000001           0         6           mmap
  1.61    0.000001           1         2           socket
  1.61    0.000001           1         1           accept4
  0.00    0.000000           0         8         2 read
  0.00    0.000000           0        10         2 open
  0.00    0.000000           0        10           close
  0.00    0.000000           0         5           stat
  0.00    0.000000           0         5           lstat
  0.00    0.000000           0        28           poll
  0.00    0.000000           0         6           munmap
  0.00    0.000000           0         2           rt_sigaction
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         2           writev
  0.00    0.000000           0         8           setitimer
  0.00    0.000000           0         2           connect
  0.00    0.000000           0        12           sendto
  0.00    0.000000           0        27           recvfrom
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0        12           fcntl
  0.00    0.000000           0        10           getcwd
  0.00    0.000000           0         4           chdir
  0.00    0.000000           0        33           gettimeofday
  0.00    0.000000           0         2           times
------ ----------- ----------- --------- --------- ----------------
100.00    0.000062                   216         4 total
