PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
2017-04-14T23:11:09Z 
4872,root,20,0,107920,620,528,R,100.0,0.0,0:00.18,dd
4607,dmittal,20,0,679560,19888,4372,S,6.7,0.2,0:00.86,python

2017-04-14T23:11:14Z 
4872,root,20,0,107920,620,528,R,99.6,0.0,0:05.17,dd
4485,apache,20,0,483524,10504,3288,S,3.8,0.1,0:25.54,httpd
4731,apache,20,0,483392,10596,3396,S,3.6,0.1,0:02.06,httpd
4570,apache,20,0,483580,11024,3796,S,3.4,0.1,0:04.54,httpd
3704,apache,20,0,483580,11076,3828,S,1.8,0.1,0:58.61,httpd
3966,apache,20,0,483588,12436,5180,S,1.8,0.2,0:39.72,httpd
4729,apache,20,0,483580,11288,4052,S,1.8,0.1,0:03.37,httpd
4732,apache,20,0,483392,10480,3284,S,1.8,0.1,0:00.99,httpd
14,root,20,0,0,0,0,S,0.2,0.0,0:21.33,rcuos/0
3535,mysql,20,0,1850116,214372,8520,S,0.2,2.6,0:13.85,mysqld
4631,root,20,0,2310848,14088,4220,S,0.2,0.2,0:00.88,python
4880,root,20,0,145996,2008,1448,R,0.2,0.0,0:00.01,top

2017-04-14T23:11:19Z 
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:25.72,httpd
4570,apache,20,0,483580,11024,3796,S,3.6,0.1,0:04.72,httpd
4731,apache,20,0,483392,10596,3396,S,3.6,0.1,0:02.24,httpd
4732,apache,20,0,483392,10480,3284,S,1.8,0.1,0:01.08,httpd
4631,root,20,0,2310848,14088,4220,S,0.4,0.2,0:00.90,python
3535,mysql,20,0,1850116,214372,8520,S,0.2,2.6,0:13.86,mysqld
4607,dmittal,20,0,679560,19892,4372,S,0.2,0.2,0:00.87,python
29953,tcpdump,20,0,50904,8200,5832,S,0.2,0.1,1:29.43,tcpdump

2017-04-14T23:11:24Z 
4731,apache,20,0,483392,10596,3396,S,3.8,0.1,0:02.43,httpd
4570,apache,20,0,483580,11024,3796,S,3.6,0.1,0:04.90,httpd
4485,apache,20,0,483524,10504,3288,S,3.4,0.1,0:25.89,httpd
3809,apache,20,0,483588,12652,5388,S,1.8,0.2,1:12.90,httpd
4486,apache,20,0,483524,10680,3464,S,1.8,0.1,0:20.15,httpd
4725,apache,20,0,483392,10460,3264,S,1.8,0.1,0:00.73,httpd
4732,apache,20,0,483392,10480,3284,S,1.8,0.1,0:01.17,httpd
3535,mysql,20,0,1850116,214372,8520,S,0.2,2.6,0:13.87,mysqld
4607,dmittal,20,0,679560,19892,4372,S,0.2,0.2,0:00.88,python
4631,root,20,0,2327240,14088,4220,S,0.2,0.2,0:00.91,python
29953,tcpdump,20,0,50904,8200,5832,S,0.2,0.1,1:29.44,tcpdump

2017-04-14T23:11:29Z 
4570,apache,20,0,483580,11024,3796,S,5.4,0.1,0:05.17,httpd
4731,apache,20,0,483392,10596,3396,S,5.0,0.1,0:02.68,httpd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:26.07,httpd
3701,apache,20,0,483588,12032,4780,S,3.4,0.1,1:03.67,httpd
3772,apache,20,0,483588,10968,3732,S,1.8,0.1,1:12.92,httpd
3966,apache,20,0,483588,12436,5180,S,1.8,0.2,0:39.81,httpd
4486,apache,20,0,483524,10680,3464,S,1.8,0.1,0:20.24,httpd
3704,apache,20,0,483580,11076,3828,S,1.6,0.1,0:58.69,httpd
4487,apache,20,0,483588,11372,4124,S,1.6,0.1,0:09.67,httpd
3535,mysql,20,0,1850116,214372,8520,S,0.6,2.6,0:13.90,mysqld
4607,dmittal,20,0,679560,19892,4372,S,0.4,0.2,0:00.90,python
4904,root,20,0,107920,616,528,R,0.4,0.0,0:00.02,dd
1,root,20,0,188640,3716,2376,S,0.2,0.0,0:22.86,systemd
3699,root,20,0,483040,32356,25520,S,0.2,0.4,0:00.48,httpd
4631,root,20,0,2351828,16168,4220,S,0.2,0.2,0:00.92,python
4880,root,20,0,145996,2008,1448,R,0.2,0.0,0:00.02,top

2017-04-14T23:11:34Z 
4904,root,20,0,107920,616,528,R,99.8,0.0,0:05.02,dd
3966,apache,20,0,483588,12436,5180,S,3.6,0.2,0:39.99,httpd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:26.25,httpd
4731,apache,20,0,483392,10596,3396,S,3.6,0.1,0:02.86,httpd
4486,apache,20,0,483524,10680,3464,S,1.8,0.1,0:20.33,httpd
4487,apache,20,0,483588,11372,4124,S,1.8,0.1,0:09.76,httpd
4729,apache,20,0,483580,11288,4052,S,1.8,0.1,0:03.46,httpd
4732,apache,20,0,483392,10480,3284,S,1.8,0.1,0:01.26,httpd
4902,apache,20,0,483392,10192,3020,S,1.8,0.1,0:00.09,httpd
13,root,20,0,0,0,0,S,0.2,0.0,0:28.67,rcu_sched
593,root,20,0,119648,11992,6908,S,0.2,0.1,1:42.45,snmpd
3535,mysql,20,0,1850116,214372,8520,S,0.2,2.6,0:13.91,mysqld
3701,apache,20,0,483588,12032,4780,S,0.2,0.1,1:03.68,httpd
4086,root,20,0,0,0,0,S,0.2,0.0,0:01.32,kworker/1:2
4607,dmittal,20,0,679560,19892,4372,S,0.2,0.2,0:00.91,python
4631,root,20,0,2368220,16168,4220,S,0.2,0.2,0:00.93,python
4880,root,20,0,145996,2008,1448,R,0.2,0.0,0:00.03,top
29953,tcpdump,20,0,50904,8200,5832,S,0.2,0.1,1:29.45,tcpdump

2017-04-14T23:11:39Z 
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:26.43,httpd
4731,apache,20,0,483392,10596,3396,S,3.6,0.1,0:03.04,httpd
4729,apache,20,0,483580,11288,4052,S,2.0,0.1,0:03.56,httpd
3966,apache,20,0,483588,12436,5180,S,1.8,0.2,0:40.08,httpd
4725,apache,20,0,483392,10460,3264,S,1.8,0.1,0:00.82,httpd
3535,mysql,20,0,1850116,214372,8520,S,0.4,2.6,0:13.93,mysqld
4631,root,20,0,2392808,16168,4220,S,0.4,0.2,0:00.95,python
593,root,20,0,119648,11992,6908,S,0.2,0.1,1:42.46,snmpd
4607,dmittal,20,0,679560,19892,4372,S,0.2,0.2,0:00.92,python
4880,root,20,0,145996,2008,1448,R,0.2,0.0,0:00.04,top
29953,tcpdump,20,0,50904,8200,5832,S,0.2,0.1,1:29.46,tcpdump

2017-04-14T23:11:44Z 
4731,apache,20,0,483392,10596,3396,S,5.4,0.1,0:03.31,httpd
4485,apache,20,0,483524,10504,3288,S,3.6,0.1,0:26.61,httpd
4725,apache,20,0,483392,10460,3264,S,3.6,0.1,0:01.00,httpd
3701,apache,20,0,483588,12032,4780,S,1.8,0.1,1:03.77,httpd
3704,apache,20,0,483580,11076,3828,S,1.8,0.1,0:58.78,httpd
