MemTotal:       263259012 kB
MemFree:        241263332 kB
MemAvailable:   260654460 kB
Buffers:          534684 kB
Cached:          4179072 kB
SwapCached:            0 kB
Active:          1663864 kB
Inactive:        3520636 kB
Active(anon):     468264 kB
Inactive(anon):     1128 kB
Active(file):    1195600 kB
Inactive(file):  3519508 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       4194300 kB
SwapFree:        4194300 kB
Dirty:               344 kB
Writeback:             0 kB
AnonPages:        468096 kB
Mapped:            61136 kB
Shmem:              1448 kB
Slab:           15173708 kB
SReclaimable:   15013892 kB
SUnreclaim:       159816 kB
KernelStack:       15968 kB
PageTables:        14464 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    135823804 kB
Committed_AS:    1483860 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      737828 kB
VmallocChunk:   34224605928 kB
HardwareCorrupted:     0 kB
AnonHugePages:    307200 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
DirectMap4k:      184080 kB
DirectMap2M:     7057408 kB
DirectMap1G:    263192576 kB
